City,Zone,Name,Nature,Heritage,Age
AURANGABAD,A-1,Bhadkal gate,Monument,Gate,404
AURANGABAD,A-1,Chota Bhadkal,Monument,Gate,400
AURANGABAD,C-3,Mehmood gate,Monument,Gate,N/A
AURANGABAD,A-1,Rangeen gate,Monument,Gate,318
AURANGABAD,A-1,Kaala gate,Monument,Gate,N/A
AURANGABAD,A-1,Naubat gate,Monument,Gate,N/A
AURANGABAD,C-3,Baijipura gate,Monument,Gate,N/A
AURANGABAD,A-1,Dehli gate,Monument,Gate,N/A
AURANGABAD,C-3,Katkat gate,Monument,Gate,N/A
AURANGABAD,A-1,Hathi gate,Monument,Gate,N/A
AURANGABAD,C-3,Roshan gate,Monument,Gate,N/A
AURANGABAD,C-3,Jafar gate,Monument,Gate,334
AURANGABAD,B-5,Paithan gate,Monument,Gate,360
AURANGABAD,A-1,Barapulla gate,Monument,Gate,337
AURANGABAD,A-1,Makai gate,Monument,Gate,N/A
AURANGABAD,A-1, Khadkeshwar Mandir,Monument,Temple,N/A
AURANGABAD,A-1,Naukhanda Mahal,Monument,Palace,N/A
AURANGABAD,A-1,Sunehri Mahal,Monument,Palace,N/A
AURANGABAD,A-1,Quil-A-Ark,Monument,Palace,N/A
AURANGABAD,B-5,Shahaganj clock tower,Monument,Clock tower,119
AURANGABAD,A-1,Himayat baag,open space,garden,N/A
AURANGABAD,A-1,Town hall,Monument,Exhibition hall,400
