City,Zone,Name,Nature,Heritage,Age
Pune City,Zone 1,Agakhan Palace Complex (Kasturba Gandhi Samadhi and Grounds),Monument,NA,NA
Pune City,NA,"Ahilyabai Holkar Ghat, Sangmeshwar Temple & other temple",Monument,NA,NA
Pune City,NA,Amruteshwar- Siddheshwar Temple Complex,Building,NA,NA
Pune City,NA,Baloba Munja Mandir,Monument,NA,NA
Pune City,Zone 5,Belbaug Temple Complex and Garden,Monument,NA,NA
Pune City,NA,Bhandarkar Oriental Research Inst Complex,Monument,NA,NA
Pune City,Zone 5,Bharat Itihaas Samshodhan Mandal,Monument,NA,NA
Pune City,Zone 5,Bhavani Mata Mandir,Monument,NA,NA
Pune City,NA,Bhide Wada,Street,NA,NA
Pune City,Zone 1,Botanical Survey of India,Monumnet ,NA,NA
Pune City,Zone 1,Central Building Complex,Monumnet ,NA,NA
Pune City,NA,Central Post and Telegraph Office (General Post Office),Monumnet ,NA,NA
Pune City,Zone 2,Chaturshringi Temple and Hill,Monumnet ,NA,NA
Pune City,NA,City Post,Monumnet ,NA,NA
Pune City,Zone 2,College of Agriculture Complex,Monumnet ,NA,NA
Pune City,Zone 2,College of Engineering Pune Complex,Monumnet ,NA,NA
Pune City,Cantonment Area,Council Hall,Monumnet ,NA,NA
Pune City,Zone 1,Deccan College complex,Monumnet ,NA,NA
Pune City,NA,Dhakta Sheikh Salla Dargah,Monumnet ,NA,NA
Pune City,Zone 2,District and Sessions Court,Monumnet ,NA,NA
Pune City,Zone 1,Don Bosco Youth Centre,Monumnet ,NA,NA
Pune City,Zone 2,Fergusson College Complex,Monumnet ,NA,NA
Pune City,Zone 5,Gokhale Hall,Monumnet ,NA,NA
Pune City,Zone 2,"Gokhale Institute,Residence and Campus",Monumnet ,NA,NA
Pune City,NA,Hari Mandir (Prarthana Samaj),Monumnet ,NA,NA
Pune City,NA,Harihareshwar Mandir,Monumnet ,NA,NA
Pune City,NA,Hirabaug Town Hall,Monumnet ,NA,NA
Pune City,Zone 2,Jangli Maharaj Samadhi Complex,Monumnet ,NA,NA
Pune City,NA,Jaykar Bungalow,Monumnet ,NA,NA
Pune City,NA,Jehangir Bungalow (Garden Reach)+Water Tower,Monumnet ,NA,NA
Pune City,Zone 5,Kala Ram Mandir Complex,Monumnet ,NA,NA
Pune City,NA,a) Maharshi Karve Kutir b) Karve hostel c) Anandibai Karve prathmic Shala,Monumnet ,NA,NA
Pune City,NA,Kasba Ganpati Mandir,Monumnet ,NA,NA
Pune City,NA,Katraj Dams and lakes (upper and lower)+Uchhwas+Aquaduct,Monumnet ,NA,NA
Pune City,Zone 5,Kesari Wada,Monumnet ,NA,NA
Pune City,Zone 5,Khunya Murlidhar Temple Complex,Monumnet ,NA,NA
Pune City,NA,Kumbharves Dharan (Dam),Monumnet ,NA,NA
Pune City,Zone 5,Lal Mahal ,Monumnet ,NA,NA
Pune City,Zone 5,Laxmaneshwar Mandir,Monumnet ,NA,NA
Pune City,Zone 5,Mahatma Phule Mandai Complex,Monumnet ,NA,NA
Pune City,Zone 5,Mahatma Phule Wada,Street,NA,NA
Pune City,Zone 5,Modi Ganpati Mandir,Monumnet ,NA,NA
Pune City,NA,Nagarkar Wada (Raghunath Daji Niwas),Monumnet ,NA,NA
Pune City,Zone 1,Nageshwar Temple Complex,Monumnet ,NA,NA
Pune City,Zone 5,Nana Wada,Monumnet ,NA,NA
Pune City,Zone 1,Ohel David Synagogue and Memorial (Lal Dewal),Monumnet ,NA,NA
Pune City,Zone 1,Omkareshwar Temple Complex and Ghats,Monumnet ,NA,NA
Pune City,Zone 5,Panch Haud Mission Church (Pavitra Naam Devalay),Monumnet ,NA,NA
Pune City,NA,Parsi Agyari,Street,NA,NA
Pune City,NA,"Parvati Hill, steps, Landscape and Temple complex",Monumnet ,NA,NA
Pune City,Zone 2,Pataleshwar Caves,Monumnet ,NA,NA
Pune City,NA,Poonawala Bungalow (Hoshang Dalal),Monumnet ,NA,NA
Pune City,NA,Prasannyeshwar Temple,Monumnet ,NA,NA
Pune City,NA,Pune Archives (Peshwe Daftar),Monumnet ,NA,NA
Pune City,Zone 5,Pune Nagar Wachan Mandir,Monumnet ,NA,NA
Pune City,NA,a) Main Building Pune University b) Millenium Gate Police Chowky c) Main Gate Police Chowky,Monumnet ,NA,NA
Pune City,Zone 5,Pushtimarg Mandir,Monumnet ,NA,NA
Pune City,Zone 1,Indian Railway Institute of Civil Engineering,Monumnet ,NA,NA
Pune City,Zone 2,Raj Bhavan Complex,Monumnet ,NA,NA
Pune City,Zone 5,Rameshwar Mandir Complex,Monumnet ,NA,NA
Pune City,Zone 5,Raste Wada Complex,Monumnet ,NA,NA
Pune City,NA,"Sarasbaug Temple, Dharan & Bridge",Monumnet ,NA,NA
Pune City,NA,Sasoon Hospital,Building,NA,NA
Pune City,Zone 5,Savarkar Smarak,Monumnet ,NA,NA
